ID;Half;Event;Player;Team;"Video time";"Football time";"X coordinate";"Y coordinate";Details
1305;"2nd half";pass_received;"5. Ioane GOGICHAISHILI";"GEORGIA NATIONAL TEAM U17";3232.9;3161.633;0.2631;0.0109;"{""body_part"":""left-foot"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
1306;"2nd half";pass;"5. Ioane GOGICHAISHILI";"GEORGIA NATIONAL TEAM U17";3234.066;3162.8;0.2884;0.0201;"{""third"":""defensive"",""length"":""short"",""restart"":""no"",""body_part"":""left-foot"",""direction"":""forward"",""inside_pa"":""not_inside_pa"",""outcome"":""success"",""under_pressure"":""under_pressure""}"
1307;"2nd half";pass_received;"11. Andria BARTISHVILI";"GEORGIA NATIONAL TEAM U17";3235.933;3164.666;0.3926;0.1396;"{""body_part"":""right-foot"",""outcome"":""success"",""under_pressure"":""under_pressure""}"
1308;"2nd half";pass;"11. Andria BARTISHVILI";"GEORGIA NATIONAL TEAM U17";3241.233;3169.966;0.5771;0.0155;"{""third"":""middle"",""length"":""short"",""restart"":""no"",""body_part"":""left-foot"",""direction"":""sideways"",""inside_pa"":""not_inside_pa"",""outcome"":""success"",""under_pressure"":""under_pressure""}"
1309;"2nd half";pass_received;"18. Irakli RAZMADZE";"GEORGIA NATIONAL TEAM U17";3241.833;3170.566;0.6009;0.1051;"{""body_part"":""left-foot"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
1310;"2nd half";pass;"18. Irakli RAZMADZE";"GEORGIA NATIONAL TEAM U17";3243;3171.733;0.6143;0.1074;"{""third"":""middle"",""length"":""medium"",""restart"":""no"",""body_part"":""right-foot"",""direction"":""forward"",""inside_pa"":""not_inside_pa"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
1311;"2nd half";pass_received;"11. Andria BARTISHVILI";"GEORGIA NATIONAL TEAM U17";3245.466;3174.2;0.8122;0.0568;"{""body_part"":""left-foot"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
1312;"2nd half";pass;"11. Andria BARTISHVILI";"GEORGIA NATIONAL TEAM U17";3248.533;3177.266;0.9565;0.2544;"{""third"":""final"",""length"":""short"",""restart"":""no"",""body_part"":""right-foot"",""direction"":""sideways"",""inside_pa"":""not_inside_pa"",""outcome"":""fail"",""under_pressure"":""under_pressure""}"
1313;"2nd half";block;"1. Harley OLLIN";"ESTONIA NATIONAL TEAM U17";3248.966;3177.7;0.036;0.5847;"{""body_part"":""hand"",""block_type"":""after_pass"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
1314;"2nd half";recovery;"2. Luka SHARIKADZE";"GEORGIA NATIONAL TEAM U17";3250.733;3179.466;0.8896;0.56;"{""body_part"":""right-foot"",""outcome"":""success""}"
1315;"2nd half";shot;"2. Luka SHARIKADZE";"GEORGIA NATIONAL TEAM U17";3250.766;3179.5;0.8866;0.56;"{""body_part"":""right-foot"",""inside_pa"":""inside_pa"",""on_target"":""off"",""restart"":""no"",""outcome"":""fail"",""under_pressure"":""not_under_pressure""}"
1316;"2nd half";ball_out_of_play;"2. Luka SHARIKADZE";"GEORGIA NATIONAL TEAM U17";3251.333;3180.066;0.9923;0.5118;
1317;"2nd half";pass;"1. Harley OLLIN";"ESTONIA NATIONAL TEAM U17";3261.166;3189.9;0.0598;0.4744;"{""third"":""defensive"",""length"":""long"",""gk_pass"":""kick-from-hand"",""restart"":""goal-kick"",""body_part"":""left-foot"",""direction"":""sideways"",""inside_pa"":""not_inside_pa"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
1318;"2nd half";pass_received;"15. Ron NELTSAS";"ESTONIA NATIONAL TEAM U17";3263.8;3192.533;0.1595;0.888;"{""body_part"":""right-foot"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
1319;"2nd half";pass;"15. Ron NELTSAS";"ESTONIA NATIONAL TEAM U17";3265.6;3194.333;0.1952;0.9041;"{""third"":""defensive"",""length"":""medium"",""restart"":""no"",""body_part"":""left-foot"",""direction"":""forward"",""inside_pa"":""not_inside_pa"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
1320;"2nd half";pass_received;"13. Ako HENNO KORRE";"ESTONIA NATIONAL TEAM U17";3266.966;3195.7;0.3753;0.9638;"{""body_part"":""right-foot"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
1321;"2nd half";pass;"13. Ako HENNO KORRE";"ESTONIA NATIONAL TEAM U17";3272.266;3201;0.5271;0.973;"{""third"":""middle"",""length"":""long"",""restart"":""no"",""body_part"":""right-foot"",""direction"":""forward"",""inside_pa"":""not_inside_pa"",""outcome"":""success"",""under_pressure"":""under_pressure""}"
1322;"2nd half";pass_received;"9. Aston VISSE";"ESTONIA NATIONAL TEAM U17";3276.1;3204.833;0.8336;0.8536;"{""body_part"":""right-foot"",""outcome"":""success"",""under_pressure"":""under_pressure""}"
1323;"2nd half";pass;"9. Aston VISSE";"ESTONIA NATIONAL TEAM U17";3281.666;3210.4;0.9884;0.8053;"{""third"":""final"",""length"":""short"",""restart"":""no"",""body_part"":""right-foot"",""direction"":""sideways"",""inside_pa"":""not_inside_pa"",""outcome"":""fail"",""under_pressure"":""under_pressure""}"
1324;"2nd half";ball_out_of_play;"9. Aston VISSE";"ESTONIA NATIONAL TEAM U17";3282.266;3211;0.9988;0.6146;
1325;"2nd half";pass;"3. Davit TSKVITAIA";"GEORGIA NATIONAL TEAM U17";3300.833;3229.566;0.0429;0.6221;"{""third"":""defensive"",""length"":""medium"",""restart"":""goal-kick"",""body_part"":""right-foot"",""direction"":""sideways"",""inside_pa"":""not_inside_pa"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
